CM004536.1	1858477	1858713
CM004536.1	1858477	1858713
CM004536.1	1858477	1858713
CM004536.1	1858477	1858713
CM004536.1	17024133	17034654
CM004536.1	17024133	17034654
CM004536.1	20446838	20451525
CM004536.1	20446838	20451525
CM004547.1	672675	679034
CM004547.1	672675	679034
CM004547.1	672675	679034
CM004547.1	676678	676814
CM004547.1	676903	677043
CM004547.1	676678	676814
CM004547.1	676903	677043
CM004547.1	676678	676814
CM004547.1	676903	677043
CM004545.1	2710859	2717244
CM004545.1	2710859	2717244
CM004545.1	2714009	2714115
CM004545.1	2714009	2714115
CM004533.1	6960120	6972370
CM004533.1	6960120	6972370
CM004533.1	6964412	6964567
CM004533.1	6964412	6964567
CM004533.1	12837500	12850401
CM004533.1	12837500	12850401
CM004533.1	20768884	20774830
CM004533.1	20768884	20774830
CM004533.1	20768884	20774830
CM004533.1	26313111	26354842
CM004533.1	26313111	26354842
CM004533.1	26341714	26341806
CM004533.1	26343115	26343230
CM004533.1	26343115	26343230
CM004533.1	26341714	26341806
CM004533.1	31900310	31921993
CM004533.1	31900310	31921905
CM004533.1	32942795	32952770
CM004533.1	32942795	32952770
CM004540.1	17774967	17781696
CM004540.1	17774967	17781696
CM004525.1	618082	630769
CM004525.1	618082	630769
CM004530.1	2113969	2143470
CM004530.1	2113969	2143470
CM004530.1	7327937	7342065
CM004530.1	7327937	7342065
CM004530.1	7341842	7342065
CM004530.1	7341842	7342065
CM004530.1	24090391	24103397
CM004530.1	24090391	24103397
CM004530.1	24090391	24103397
CM004530.1	24102865	24103397
CM004530.1	24102865	24102886
CM004530.1	24102887	24103397
CM004530.1	24102865	24102886
CM004530.1	24102887	24103397
CM004530.1	46213838	46226145
CM004530.1	46213838	46226145
CM004530.1	56523712	56548830
CM004530.1	56523712	56548830
CM004530.1	56523712	56528871
CM004530.1	56527957	56528091
CM004530.1	56527957	56528031
CM004530.1	56527957	56528031
CM004530.1	56527957	56528091
CM004549.1	3869589	3893873
CM004549.1	3869589	3893873
CM004549.1	3874569	3874686
CM004549.1	3875843	3875984
CM004549.1	3876114	3876259
CM004549.1	3878567	3878709
CM004549.1	3879493	3879633
CM004549.1	3880822	3880938
CM004549.1	3874569	3874686
CM004549.1	3875843	3875984
CM004549.1	3876114	3876259
CM004549.1	3878567	3878709
CM004549.1	3879493	3879633
CM004549.1	3880822	3880938
CM004549.1	6887470	6907811
CM004549.1	6887470	6907811
CM004549.1	6887470	6907811
CM004549.1	6887470	6907811
CM004549.1	6887470	6907811
CM004549.1	6888932	6889087
CM004549.1	6888932	6889087
CM004549.1	6888932	6889087
CM004549.1	6888932	6889087
CM004549.1	6888932	6889087
CM004529.1	12867446	12871873
CM004529.1	12867446	12871873
CM004529.1	12871730	12871873
CM004529.1	12870676	12870834
CM004529.1	12867446	12867589
CM004529.1	12871730	12871873
CM004529.1	12870676	12870834
CM004529.1	12867446	12867589
CM004529.1	13101793	13117407
CM004529.1	13101793	13117407
CM004529.1	13101793	13101936
CM004529.1	13103273	13103402
CM004529.1	13105491	13105590
CM004529.1	13106605	13106711
CM004529.1	13107593	13107796
CM004529.1	13108332	13108457
CM004529.1	13108646	13108768
CM004529.1	13110400	13110623
CM004529.1	13110940	13111099
CM004529.1	13111368	13111570
CM004529.1	13113066	13113215
CM004529.1	13113674	13113757
CM004529.1	13115629	13117407
CM004529.1	13101793	13101936
CM004529.1	13103273	13103402
CM004529.1	13105491	13105590
CM004529.1	13106605	13106711
CM004529.1	13107593	13107796
CM004529.1	13108332	13108457
CM004529.1	13108646	13108768
CM004529.1	13110400	13110623
CM004529.1	13110940	13111099
CM004529.1	13111368	13111570
CM004529.1	13113066	13113215
CM004529.1	13113674	13113757
CM004529.1	13115629	13115820
CM004529.1	13115821	13117407
CM004529.1	13143661	13147867
CM004529.1	13143661	13147867
CM004529.1	13143661	13144587
CM004529.1	13145461	13145635
CM004529.1	13147665	13147867
CM004529.1	13147853	13147867
CM004529.1	13147665	13147852
CM004529.1	13145461	13145635
CM004529.1	13144201	13144587
CM004529.1	13143661	13144200
CM004529.1	12979085	12999283
CM004529.1	12979085	12999283
CM004529.1	12999204	12999283
CM004529.1	12995581	12995634
CM004529.1	12990845	12991045
CM004529.1	12986882	12987066
CM004529.1	12983161	12983314
CM004529.1	12982445	12982634
CM004529.1	12981968	12982073
CM004529.1	12980213	12980347
CM004529.1	12979085	12979197
CM004529.1	12999204	12999283
CM004529.1	12995581	12995634
CM004529.1	12990845	12991045
CM004529.1	12986882	12987066
CM004529.1	12983161	12983314
CM004529.1	12982445	12982634
CM004529.1	12981968	12982073
CM004529.1	12980213	12980347
CM004529.1	12979085	12979197
CM004529.1	27991606	28064848
CM004529.1	27991606	28064848
CM004532.1	54378474	54403592
CM004532.1	54378474	54403592
CM004532.1	54383400	54383490
CM004532.1	54383887	54384007
CM004532.1	54384683	54384791
CM004532.1	54384683	54384791
CM004532.1	54383887	54384007
CM004532.1	54383400	54383490
CM004553.1	3146139	3157925
CM004553.1	3146139	3157925
CM004544.1	6159583	6165964
CM004544.1	6163545	6165964
CM004527.1	16575680	16718609
CM004527.1	16575680	16718609
CM004527.1	29861176	29872520
CM004527.1	29861176	29872520
CM004527.1	38839835	38857876
CM004527.1	38839835	38857876
CM004527.1	38839835	38857876
CM004534.1	34364831	34373856
CM004534.1	34364831	34373856
CM004534.1	34667976	34680928
CM004534.1	34667976	34680928
CM004528.1	16229102	16234347
CM004528.1	16229102	16234347
CM004528.1	46657241	46668146
CM004528.1	46657241	46668146
CM004528.1	50133056	50185780
CM004528.1	50133056	50185780
CM004528.1	83932902	83940726
CM004528.1	83932902	83940726
CM004528.1	83940112	83940726
CM004528.1	83940196	83940726
CM004528.1	96470591	96473617
CM004528.1	96470591	96473617
CM004528.1	96472341	96472517
CM004528.1	96472341	96472517
CM004548.1	2615899	2628879
CM004548.1	2615899	2628879
CM004537.1	2881830	2896063
CM004537.1	2881830	2896063
CM004537.1	3648008	3679429
CM004537.1	3648008	3679429
CM004537.1	20063149	20071211
CM004537.1	20063149	20071211
CM004542.1	5426065	5439556
CM004542.1	5426065	5439556
CM004542.1	5432042	5432339
CM004542.1	5432929	5433228
CM004542.1	5432042	5432339
CM004542.1	5432929	5433228
CM004535.1	9275509	9290376
CM004535.1	9275509	9290376
CM004535.1	9275509	9275536
CM004535.1	9275509	9275536
